Extrados (num=60):
xt[0]=20.985523 yt[0]=14.997047
xt[1]=39.995573 yt[1]=14.997047
xt[2]=41.515964 yt[2]=15.090132
xt[3]=43.791378 yt[3]=15.234931
xt[4]=46.780444 yt[4]=15.431444
xt[5]=50.203908 yt[5]=15.648643
xt[6]=53.751485 yt[6]=15.886527
xt[7]=57.340434 yt[7]=16.134754
xt[8]=60.939725 yt[8]=16.382981
xt[9]=64.539017 yt[9]=16.631208
xt[10]=68.138308 yt[10]=16.879435
xt[11]=71.747942 yt[11]=17.138005
xt[12]=75.347233 yt[12]=17.396575
xt[13]=78.946525 yt[13]=17.655144
xt[14]=82.556159 yt[14]=17.913714
xt[15]=86.155450 yt[15]=18.172284
xt[16]=89.765084 yt[16]=18.430854
xt[17]=93.364375 yt[17]=18.679081
xt[18]=96.963667 yt[18]=18.927308
xt[19]=100.562958 yt[19]=19.175535
xt[20]=104.162249 yt[20]=19.423762
xt[21]=107.761541 yt[21]=19.661646
xt[22]=111.360832 yt[22]=19.899530
xt[23]=114.960123 yt[23]=20.127072
xt[24]=118.559415 yt[24]=20.354613
xt[25]=122.158706 yt[25]=20.571812
xt[26]=125.747655 yt[26]=20.778667
xt[27]=129.346946 yt[27]=20.985523
xt[28]=132.946237 yt[28]=21.192379
xt[29]=136.545528 yt[29]=21.378549
xt[30]=140.134477 yt[30]=21.564719
xt[31]=143.733768 yt[31]=21.740547
xt[32]=147.333060 yt[32]=21.906032
xt[33]=150.922008 yt[33]=22.071516
xt[34]=154.500614 yt[34]=22.216315
xt[35]=158.079220 yt[35]=22.340429
xt[36]=161.647483 yt[36]=22.443857
xt[37]=165.215745 yt[37]=22.526599
xt[38]=168.773666 yt[38]=22.567970
xt[39]=172.341929 yt[39]=22.588656
xt[40]=175.899849 yt[40]=22.578313
xt[41]=179.468112 yt[41]=22.547285
xt[42]=183.026032 yt[42]=22.474885
xt[43]=186.594295 yt[43]=22.392143
xt[44]=190.152215 yt[44]=22.268029
xt[45]=193.710135 yt[45]=22.123230
xt[46]=197.257712 yt[46]=21.937060
xt[47]=200.784604 yt[47]=21.719861
xt[48]=204.290810 yt[48]=21.461292
xt[49]=207.786674 yt[49]=21.140665
xt[50]=211.241166 yt[50]=20.768325
xt[51]=214.654287 yt[51]=20.323585
xt[52]=217.984666 yt[52]=19.796102
xt[53]=221.097846 yt[53]=19.206563
xt[54]=223.797314 yt[54]=18.554967
xt[55]=225.886558 yt[55]=17.913714
xt[56]=227.365577 yt[56]=17.313832
xt[57]=228.410199 yt[57]=16.765664
xt[58]=247.409907 yt[58]=7.260639
xt[59]=251.205711 yt[59]=7.260639
Intrados (num=60):
xt[60]=251.205711 yt[60]=22.733455
xt[61]=247.399564 yt[61]=22.733455
xt[62]=228.410199 yt[62]=13.218087
xt[63]=227.365577 yt[63]=12.669919
xt[64]=225.886558 yt[64]=12.070037
xt[65]=223.797314 yt[65]=11.428784
xt[66]=221.097846 yt[66]=10.777188
xt[67]=217.984666 yt[67]=10.187649
xt[68]=214.654287 yt[68]=9.660167
xt[69]=211.241166 yt[69]=9.215427
xt[70]=207.786674 yt[70]=8.843086
xt[71]=204.290810 yt[71]=8.522460
xt[72]=200.784604 yt[72]=8.263890
xt[73]=197.257712 yt[73]=8.046691
xt[74]=193.710135 yt[74]=7.860521
xt[75]=190.152215 yt[75]=7.715722
xt[76]=186.594295 yt[76]=7.591609
xt[77]=183.026032 yt[77]=7.508866
xt[78]=179.468112 yt[78]=7.436467
xt[79]=175.899849 yt[79]=7.405438
xt[80]=172.341929 yt[80]=7.395096
xt[81]=168.773666 yt[81]=7.415781
xt[82]=165.215745 yt[82]=7.457152
xt[83]=161.647483 yt[83]=7.539895
xt[84]=158.079220 yt[84]=7.643323
xt[85]=154.500614 yt[85]=7.767436
xt[86]=150.922008 yt[86]=7.912235
xt[87]=147.333060 yt[87]=8.077720
xt[88]=143.733768 yt[88]=8.243205
xt[89]=140.134477 yt[89]=8.419032
xt[90]=136.545528 yt[90]=8.605202
xt[91]=132.946237 yt[91]=8.791372
xt[92]=129.346946 yt[92]=8.998228
xt[93]=125.747655 yt[93]=9.205084
xt[94]=122.158706 yt[94]=9.411940
xt[95]=118.559415 yt[95]=9.629139
xt[96]=114.960123 yt[96]=9.856680
xt[97]=111.360832 yt[97]=10.084221
xt[98]=107.761541 yt[98]=10.322106
xt[99]=104.162249 yt[99]=10.559990
xt[100]=100.562958 yt[100]=10.808217
xt[101]=96.963667 yt[101]=11.056444
xt[102]=93.364375 yt[102]=11.304671
xt[103]=89.765084 yt[103]=11.552898
xt[104]=86.155450 yt[104]=11.811467
xt[105]=82.556159 yt[105]=12.070037
xt[106]=78.946525 yt[106]=12.328607
xt[107]=75.347233 yt[107]=12.587177
xt[108]=71.747942 yt[108]=12.845747
xt[109]=68.138308 yt[109]=13.104316
xt[110]=64.539017 yt[110]=13.352543
xt[111]=60.939725 yt[111]=13.600770
xt[112]=57.340434 yt[112]=13.848997
xt[113]=53.751485 yt[113]=14.097224
xt[114]=50.203908 yt[114]=14.335109
xt[115]=46.780444 yt[115]=14.552307
xt[116]=43.791378 yt[116]=14.748820
xt[117]=41.515964 yt[117]=14.893619
xt[118]=39.995573 yt[118]=14.997047
xt[119]=20.985523 yt[119]=14.997047
