Extrados (num=864):
xt[0]=0.000000 yt[0]=-0.599882
xt[1]=0.000000 yt[1]=-0.599882
xt[2]=0.000000 yt[2]=-0.599882
xt[3]=0.000000 yt[3]=-0.599882
xt[4]=0.000000 yt[4]=-0.599882
xt[5]=0.000000 yt[5]=-0.599882
xt[6]=0.000000 yt[6]=-0.599882
xt[7]=0.000000 yt[7]=-0.599882
xt[8]=0.000000 yt[8]=-0.599882
xt[9]=0.000000 yt[9]=-0.599882
xt[10]=0.000000 yt[10]=-0.599882
xt[11]=0.000000 yt[11]=-0.599882
xt[12]=0.000000 yt[12]=-0.599882
xt[13]=0.000000 yt[13]=-0.599882
xt[14]=0.000000 yt[14]=-0.599882
xt[15]=0.000000 yt[15]=-0.599882
xt[16]=0.000000 yt[16]=-0.599882
xt[17]=0.000000 yt[17]=-0.599882
xt[18]=0.000000 yt[18]=-0.599882
xt[19]=0.000000 yt[19]=-0.599882
xt[20]=0.000000 yt[20]=-0.599882
xt[21]=0.000000 yt[21]=-0.599882
xt[22]=0.000000 yt[22]=-0.599882
xt[23]=0.000000 yt[23]=-0.599882
xt[24]=0.000000 yt[24]=-0.599882
xt[25]=0.000000 yt[25]=-0.599882
xt[26]=0.000000 yt[26]=-0.599882
xt[27]=0.000000 yt[27]=-0.599882
xt[28]=0.000000 yt[28]=-0.599882
xt[29]=0.000000 yt[29]=-0.599882
xt[30]=0.000000 yt[30]=-0.599882
xt[31]=0.000000 yt[31]=-0.599882
xt[32]=0.000000 yt[32]=-0.599882
xt[33]=0.000000 yt[33]=-0.599882
xt[34]=0.000000 yt[34]=-0.599882
xt[35]=0.000000 yt[35]=-0.599882
xt[36]=0.000000 yt[36]=-0.599882
xt[37]=0.000000 yt[37]=-0.599882
xt[38]=0.000000 yt[38]=-0.599882
xt[39]=0.000000 yt[39]=-0.599882
xt[40]=0.000000 yt[40]=-0.599882
xt[41]=0.000000 yt[41]=-0.599882
xt[42]=0.000000 yt[42]=-0.599882
xt[43]=0.000000 yt[43]=-0.599882
xt[44]=0.000000 yt[44]=-0.599882
xt[45]=0.000000 yt[45]=-0.599882
xt[46]=0.000000 yt[46]=-0.599882
xt[47]=0.000000 yt[47]=-0.599882
xt[48]=0.000000 yt[48]=-0.599882
xt[49]=0.000000 yt[49]=-0.599882
xt[50]=0.000000 yt[50]=-0.599882
xt[51]=0.000000 yt[51]=-0.599882
xt[52]=0.000000 yt[52]=-0.599882
xt[53]=0.000000 yt[53]=-0.599882
xt[54]=0.000000 yt[54]=-0.599882
xt[55]=0.000000 yt[55]=-0.599882
xt[56]=0.000000 yt[56]=-0.599882
xt[57]=0.000000 yt[57]=-0.599882
xt[58]=0.000000 yt[58]=-0.599882
xt[59]=0.000000 yt[59]=-0.599882
xt[60]=0.000000 yt[60]=-0.599882
xt[61]=0.000000 yt[61]=-0.599882
xt[62]=0.000000 yt[62]=-0.599882
xt[63]=0.000000 yt[63]=0.000000
xt[64]=0.000000 yt[64]=0.000000
xt[65]=0.000000 yt[65]=0.000000
xt[66]=0.000000 yt[66]=0.000000
xt[67]=0.000000 yt[67]=0.000000
xt[68]=0.000000 yt[68]=0.000000
xt[69]=0.000000 yt[69]=0.000000
xt[70]=0.000000 yt[70]=0.000000
xt[71]=0.000000 yt[71]=0.000000
xt[72]=0.000000 yt[72]=0.000000
xt[73]=0.000000 yt[73]=0.000000
xt[74]=0.000000 yt[74]=0.000000
xt[75]=0.000000 yt[75]=0.000000
xt[76]=0.000000 yt[76]=0.000000
xt[77]=0.000000 yt[77]=0.000000
xt[78]=0.000000 yt[78]=0.000000
xt[79]=0.000000 yt[79]=0.000000
xt[80]=0.000000 yt[80]=0.000000
xt[81]=0.000000 yt[81]=0.000000
xt[82]=0.000000 yt[82]=0.000000
xt[83]=0.000000 yt[83]=0.000000
xt[84]=0.000000 yt[84]=0.000000
xt[85]=0.000000 yt[85]=0.000000
xt[86]=0.000000 yt[86]=0.000000
xt[87]=0.000000 yt[87]=0.000000
xt[88]=0.000000 yt[88]=0.000000
xt[89]=0.000000 yt[89]=0.000000
xt[90]=0.000000 yt[90]=0.000000
xt[91]=0.000000 yt[91]=0.000000
xt[92]=0.000000 yt[92]=0.000000
xt[93]=0.000000 yt[93]=0.000000
xt[94]=0.000000 yt[94]=0.000000
xt[95]=0.000000 yt[95]=0.000000
xt[96]=0.000000 yt[96]=0.000000
xt[97]=0.000000 yt[97]=0.000000
xt[98]=0.000000 yt[98]=0.000000
xt[99]=0.000000 yt[99]=0.000000
xt[100]=0.000000 yt[100]=0.000000
xt[101]=0.000000 yt[101]=0.000000
xt[102]=0.000000 yt[102]=0.000000
xt[103]=0.000000 yt[103]=0.000000
xt[104]=0.000000 yt[104]=0.000000
xt[105]=0.000000 yt[105]=0.000000
xt[106]=0.000000 yt[106]=0.000000
