  RG-15 8.9% (escala=0.842700)
1.000000 0.000000
0.996710 0.000455
0.987260 0.001930
0.972370 0.004331
0.952480 0.007289
0.927640 0.010567
0.898100 0.014199
0.864270 0.018135
0.826600 0.022281
0.785570 0.026537
0.741650 0.030792
0.695370 0.034938
0.647230 0.038865
0.597780 0.042464
0.547530 0.045624
0.497020 0.048261
0.446760 0.050275
0.397270 0.051599
0.349020 0.052163
0.302480 0.051927
0.258090 0.050865
0.216240 0.048961
0.177300 0.046231
0.141610 0.042708
0.109450 0.038461
0.081080 0.033582
0.056730 0.028171
0.036580 0.022365
0.020760 0.016306
0.009320 0.010230
0.002350 0.004433
0.000000 0.000000
0.000020 -0.000404
0.003360 -0.004500
0.012470 -0.008478
0.026700 -0.012101
0.045960 -0.015261
0.070100 -0.017891
0.098960 -0.019989
0.132240 -0.021565
0.169630 -0.022652
0.210730 -0.023275
0.255090 -0.023469
0.302210 -0.023275
0.351560 -0.022719
0.402570 -0.021826
0.454630 -0.020612
0.507130 -0.019062
0.559440 -0.017065
0.611280 -0.014469
0.662440 -0.011511
0.712370 -0.008553
0.760370 -0.005823
0.805750 -0.003480
0.847790 -0.001618
0.885830 -0.000287
0.919250 0.000522
0.947480 0.000851
0.970030 0.000817
0.986520 0.000539
0.996600 0.000177
1.000000 0.000000
